序,时间,区,目的港,国家,中文,代,船,20G,E1,40G,E2,40H,E3,AE,20'GP(标准报价),40'GP(标准报价),40'HQ(标准报价),EBS,AE1,船期,港,中转港,中转,航程,起,止,内部备注,限重,快捷报价,,,
188,72518,西,PORT HARCOURT,NIGERIA,"奥纳,尼日利亚",B,MSC,1850,,3100,,3100,,,1875,3150,3150,,,周五,外港,SIN,新加坡,35,7-20,7-31,,,Port Harcourt MSC USD1850/3100，周五外港新加坡转35天，价格到7月31日已过期，紧供参考。,,,
189,72518,西,CONAKRY,GUINEA,"科纳克里,几内亚",M,CMA,2338,55,4163,110,4163,110,,2388,4263,4263,55/110,,周日,洋山,ESALG,阿尔赫西拉斯,42,7-15,7-31,FAL1 8天免用箱,,Conakry CMA USD2338/4163 + EBS55/110，周日洋山阿尔赫西拉斯转42天，价格到7月31日已过期，紧供参考。,,,
190,72518,西,CONAKRY,GUINEA,"科纳克里,几内亚",B,MSC,2240,,4190,,4190,,,2265,4240,4240,,,周五,外港,VLC,瓦伦西亚,50-60,7-20,7-31,"Subject to CUS:90 Cntr,DTHC:USD160/210(Can be CC)",,Conakry MSC USD2240/4190，周五外港瓦伦西亚转50-60天，价格到7月31日已过期，紧供参考。,,,
191,72518,西,CONAKRY,GUINEA,"科纳克里,几内亚",E,COSCO,2360,60,4410,120,4410,120,,2350,4610,4610,60/120,,周三,外港,LOME,洛美,42,7-23,7-31,WAX3,,Conakry COSCO USD2360/4410 + EBS60/120，周三外港洛美转42天，价格到7月31日已过期，紧供参考。,,,
192,72518,西,CONAKRY,GUINEA,"科纳克里,几内亚",A,MSK,2650,60,4600,120,4600,120,,2650,4600,4600,60/120,,周一,洋山,PORT SAIDE EAST,赛德东,40,8-01,8-19,含目的港CER 100/100,,Conakry MSK USD2650/4600 + EBS60/120，周一洋山赛德东转40天，价格到8月19日。,,,
193,72518,西,CONAKRY,GUINEA,"科纳克里,几内亚",D,SAF,2450,60,4300,120,4300,120,,2450,4300,4300,60/120,,周一/五,洋山,PORT SAIDE EAST/ALGECIRAS,赛德东/阿尔赫西拉斯,43,7-16,7-31,AE7/AE6,,Conakry SAF USD2450/4300 + EBS60/120，周一/五洋山赛德东/阿尔赫西拉斯转43天，价格到7月31日已过期，紧供参考。,,,
194,72518,西,CONAKRY,GUINEA,"科纳克里,几内亚",K,PIL,2260,,3710,,3710,,,2360,3910,3910,,,周三,外港,LOME,洛美,45,7-23,7-31,,,Conakry PIL USD2260/3710，周三外港洛美转45天，价格到7月31日已过期，紧供参考。,,,
195,72518,西,MALABO,GUINEA,"马拉博,赤道几内亚",M,CMA,2488,55,3863,110,3863,110,,2538,3963,3963,55/110,,周日,洋山,ESALG,阿尔赫西拉斯,46,7-15,7-31,FAL1 10天免用箱,,Malabo CMA USD2488/3863 + EBS55/110，周日洋山阿尔赫西拉斯转46天，价格到7月31日已过期，紧供参考。,,,
196,72518,西,MALABO,GUINEA,"马拉博,赤道几内亚",D,SAF,2750,60,4400,120,4400,120,,2750,4400,4400,60/120,,周二/五,洋山,pointe noire,黑角,46,7-16,7-31,FW6/AE6,,Malabo SAF USD2750/4400 + EBS60/120，周二/五洋山黑角转46天，价格到7月31日已过期，紧供参考。,,,
197,72518,西,MALABO,GUINEA,"马拉博,赤道几内亚",L,NDS,2610,,4360,,4360,,,2610,4360,4360,,,周一,洋山,PNR,黑角,56,7-07,7-31,,,Malabo NDS USD2610/4360，周一洋山黑角转56天，价格到7月31日已过期，紧供参考。,,,
198,72518,西,MALABO,GUINEA,"马拉博,赤道几内亚",A,MSK,2850,60,4600,120,4600,120,,2850,4600,4600,60/120,,周二,洋山,pointe noire,黑角,46,8-01,8-19,FEW6,,Malabo MSK USD2850/4600 + EBS60/120，周二洋山黑角转46天，价格到8月19日。,,,
199,72518,西,LIBREVILLE,GABON,"利伯维尔,加蓬",M,CMA,1988,55,3263,110,3263,110,,2038,3363,3363,55/110,,周五,外四,CMKBI,开瑞比,52,7-15,7-31,AFEX 11天免用箱,,Libreville CMA USD1988/3263 + EBS55/110，周五外四开瑞比转52天，价格到7月31日已过期，紧供参考。,,,
200,72518,西,LIBREVILLE,GABON,"利伯维尔,加蓬",A,MSK,2450,60,4200,120,4200,120,,2450,4200,4200,60/120,,周二,洋山,pointe noire,黑角,45,8-01,8-19,FEW6,,Libreville MSK USD2450/4200 + EBS60/120，周二洋山黑角转45天，价格到8月19日。,,,
201,72518,西,LIBREVILLE,GABON,"利伯维尔,加蓬",D,SAF,2350,60,4000,120,4000,120,,2350,4000,4000,60/120,,周二,洋山,pointe noire,黑角,45,7-16,7-31,FW6/AE5/AE2,,Libreville SAF USD2350/4000 + EBS60/120，周二洋山黑角转45天，价格到7月31日已过期，紧供参考。,,,
202,72518,西,LIBREVILLE,GABON,"利伯维尔,加蓬",B,MSC,1850,,3100,,3100,,,1875,3150,3150,,,周五,外港,TGLFW,洛美,50,7-20,7-31,,,Libreville MSC USD1850/3100，周五外港洛美转50天，价格到7月31日已过期，紧供参考。,,,
203,72518,西,LIBREVILLE,GABON,"利伯维尔,加蓬",K,PIL,1970,,3220,,3220,,,2070,3420,3420,,,周一,洋山,PNR,黑角,62,7-23,7-31,,,Libreville PIL USD1970/3220，周一洋山黑角转62天，价格到7月31日已过期，紧供参考。,,,
204,72518,西,LIBREVILLE,GABON,"利伯维尔,加蓬",L,NDS,2210,,3760,,3760,,,2210,3760,3760,,,周一,洋山,PNR,黑角,58,7-07,7-31,,,Libreville NDS USD2210/3760，周一洋山黑角转58天，价格到7月31日已过期，紧供参考。,,,
205,72518,西,PORT GENTIL,GABON,"谦蒂尔港,加蓬",M,CMA,2288,55,3813,110,3813,110,,2338,3913,3913,55/110,,周四,外五,LOME,洛美,45,7-15,7-31,WAX 11天免用箱,,Port Gentil CMA USD2288/3813 + EBS55/110，周四外五洛美转45天，价格到7月31日已过期，紧供参考。,,,
206,72518,西,MATADI,"CONGO, DRC","马塔迪,刚果(金)",L,NDS,2960,,5160,,5160,,,3160,5160,5160,,,周一,洋山,PNR,黑角,56,7-07,7-31,,,Matadi NDS USD2960/5160，周一洋山黑角转56天，价格到7月31日已过期，紧供参考。,,,
207,72518,西,MATADI,"CONGO, DRC","马塔迪,刚果(金)",K,PIL,2420,,4520,,4550,,,2520,4720,4750,,,周一,洋山,PNR,黑角,56,7-23,7-31,,,Matadi PIL USD2420/4520/4550，周一洋山黑角转56天，价格到7月31日已过期，紧供参考。,,,
208,72518,西,MATADI,"CONGO, DRC","马塔迪,刚果(金)",A,MSK,3300,60,5700,120,5700,120,,3300,5700,5700,60/120,,周二,洋山,CGPNR,黑角,43,8-01,8-19,FEW6 含目的港PAI 100/100/100,,Matadi MSK USD3300/5700 + EBS60/120，周二洋山黑角转43天，价格到8月19日。,,,
209,72518,西,MATADI,"CONGO, DRC","马塔迪,刚果(金)",D,SAF,3200,60,5500,120,5500,120,,3200,5500,5500,60/120,,周二,洋山,CGPNR,黑角,39,7-16,7-31,FW6,,Matadi SAF USD3200/5500 + EBS60/120，周二洋山黑角转39天，价格到7月31日已过期，紧供参考。,,,
210,72518,西,MATADI,"CONGO, DRC","马塔迪,刚果(金)",M,CMA,2838,55,4763,110,4763,110,,2888,4863,4863,55/110,,周二,洋山,CMKBI,开瑞比,48,7-15,7-31,ASAF 32天免用箱,,Matadi CMA USD2838/4763 + EBS55/110，周二洋山开瑞比转48天，价格到7月31日已过期，紧供参考。,,,
211,72518,西,LUANDA,ANGOLA,"卢安达,安哥拉",E,COSCO,1910,60,2910,120,2910,120,,1935,2960,2960,60/120,,周二,洋山,DIR,直达,41,7-23,7-31,WAX4,,Luanda COSCO USD1910/2910 + EBS60/120，周二洋山直达41天，价格到7月31日已过期，紧供参考。,,,
212,72518,西,LUANDA,ANGOLA,"卢安达,安哥拉",A,MSK,2350,60,4200,120,4200,120,,2350,4200,4200,60/120,,周二/四,洋山/外港,DIR,直达,41/47,8-01,8-19,FEW6/FEW2,,Luanda MSK USD2350/4200 + EBS60/120，周二/四洋山/外港直达41/47天，价格到8月19日。,,,
213,72518,西,LUANDA,ANGOLA,"卢安达,安哥拉",D,SAF,2250,60,4000,120,4000,120,,2250,4000,4000,60/120,,周二,洋山,DIR,直达,41,7-16,7-31,FW6,,Luanda SAF USD2250/4000 + EBS60/120，周二洋山直达41天，价格到7月31日已过期，紧供参考。,,,
214,72518,西,LUANDA,ANGOLA,"卢安达,安哥拉",K,PIL,1960,,3210,,3210,,,2060,3410,3410,,,周一,洋山,DIR,直达,41,7-23,7-31,,,Luanda PIL USD1960/3210，周一洋山直达41天，价格到7月31日已过期，紧供参考。,,,
215,72518,西,LUANDA,ANGOLA,"卢安达,安哥拉",L,NDS,2210,,3760,,3760,,,2210,3760,3760,,,周一,洋山,DIR,直达,41,7-07,7-31,,,Luanda NDS USD2210/3760，周一洋山直达41天，价格到7月31日已过期，紧供参考。,,,
216,72518,西,LUANDA,ANGOLA,"卢安达,安哥拉",M,CMA,1988,55,3463,110,3463,110,,2038,3563,3563,55/110,,周二,洋山,DIR,直达,41,7-15,7-31,ASAF 15天免用箱,,Luanda CMA USD1988/3463 + EBS55/110，周二洋山直达41天，价格到7月31日已过期，紧供参考。,,,
217,72518,西,LUANDA,ANGOLA,"卢安达,安哥拉",B,MSC,1850,,3100,,3100,,,1875,3150,3150,,,周五,外港,PTSIE,西尼什,46,7-20,7-31,,,Luanda MSC USD1850/3100，周五外港西尼什转46天，价格到7月31日已过期，紧供参考。,,,
218,72518,西,LOBITO,ANGOLA,"洛比托,安哥拉",L,NDS,2360,,4060,,4060,,,2360,4060,4060,,,周一,洋山,PNR,黑角,48,7-07,7-31,,,Lobito NDS USD2360/4060，周一洋山黑角转48天，价格到7月31日已过期，紧供参考。,,,
219,72518,西,LOBITO,ANGOLA,"洛比托,安哥拉",M,CMA,2138,55,3763,110,3763,110,,2188,3863,3863,55/110,,周二,洋山,CGPNR,黑角,42,7-15,7-31,ASAF 15天免用箱,,Lobito CMA USD2138/3763 + EBS55/110，周二洋山黑角转42天，价格到7月31日已过期，紧供参考。,,,
220,72518,西,LOBITO,ANGOLA,"洛比托,安哥拉",B,MSC,1950,,3300,,3300,,,1975,3350,3350,,,周五,外港,ZACPT,开普敦,43,7-20,7-31,,,Lobito MSC USD1950/3300，周五外港开普敦转43天，价格到7月31日已过期，紧供参考。,,,
221,72518,西,LOBITO,ANGOLA,"洛比托,安哥拉",A,MSK,2500,60,4500,120,4500,120,,2500,4500,4500,60/120,,周四,洋山,Walvis Bay,鲸湾,36,8-01,8-19,,,Lobito MSK USD2500/4500 + EBS60/120，周四洋山鲸湾转36天，价格到8月19日。,,,
222,72518,西,LOBITO,ANGOLA,"洛比托,安哥拉",D,SAF,2400,60,4300,120,4300,120,,2400,4300,4300,60/120,,周四,洋山,Walvis Bay,鲸湾,36,7-16,7-31,FW2,,Lobito SAF USD2400/4300 + EBS60/120，周四洋山鲸湾转36天，价格到7月31日已过期，紧供参考。,,,
223,72518,西,LOBITO,ANGOLA,"洛比托,安哥拉",K,PIL,3160,,5410,,5410,,,3260,5610,5610,,,周一,洋山,PNR,黑角,48,7-23,7-31,,,Lobito PIL USD3160/5410，周一洋山黑角转48天，价格到7月31日已过期，紧供参考。,,,
224,72518,西,NAMIBE,ANGOLA,"纳美比,安哥拉",L,NDS,2360,,4060,,4060,,,2360,4060,4060,,,周一,洋山,PNR,黑角,51,7-07,7-31,,,Namibe NDS USD2360/4060，周一洋山黑角转51天，价格到7月31日已过期，紧供参考。,,,
225,72518,西,NAMIBE,ANGOLA,"纳美比,安哥拉",A,MSK,2500,60,4500,120,4500,120,,2500,4500,4500,60/120,,周四,洋山,Singapore,鲸湾,47,8-01,8-19,,,Namibe MSK USD2500/4500 + EBS60/120，周四洋山鲸湾转47天，价格到8月19日。,,,
226,72518,西,NAMIBE,ANGOLA,"纳美比,安哥拉",D,SAF,2400,60,4300,120,4300,120,,2400,4300,4300,60/120,,周四,洋山,Walvis Bay,鲸湾,47,8-01,8-19,FW2,,Namibe SAF USD2400/4300 + EBS60/120，周四洋山鲸湾转47天，价格到8月19日。,,,
227,72518,西,NAMIBE,ANGOLA,"纳美比,安哥拉",M,CMA,2138,55,3763,110,3763,110,,2188,3863,3863,55/110,,周二,洋山,CGPNR,黑角,48,7-15,7-31,ASAF 15天免用箱,,Namibe CMA USD2138/3763 + EBS55/110，周二洋山黑角转48天，价格到7月31日已过期，紧供参考。,,,
228,72518,西,NAMIBE,ANGOLA,"纳美比,安哥拉",B,MSC,1950,,3300,,3300,,,1975,3350,3350,,,周五,外港,ZACPT,开普敦,47,7-20,7-31,货重超过20T 加收USD100/TUE,,Namibe MSC USD1950/3300，周五外港开普敦转47天，价格到7月31日已过期，紧供参考。,,,
229,72518,西,CABINDA,ANGOLA,"卡宾达,安哥拉",L,NDS,3510,,6260,,6260,,,3510,6260,6260,,,周一,洋山,PNR,黑角,53,7-07,7-31,,,Cabinda NDS USD3510/6260，周一洋山黑角转53天，价格到7月31日已过期，紧供参考。,,,
230,72518,西,CABINDA,ANGOLA,"卡宾达,安哥拉",A,MSK,3550,60,6200,120,6200,120,,3550,6200,6200,60/120,,周二,洋山,Pointe Noire,黑角,45-52,8-01,8-19,,,Cabinda MSK USD3550/6200 + EBS60/120，周二洋山黑角转45-52天，价格到8月19日。,,,
231,72518,西,CABINDA,ANGOLA,"卡宾达,安哥拉",D,SAF,3450,60,6000,120,6000,120,,3450,6000,6000,60/120,,周二,洋山,Pointe Noire,黑角,45-52,8-01,8-19,FW1/FW2/AE5,,Cabinda SAF USD3450/6000 + EBS60/120，周二洋山黑角转45-52天，价格到8月19日。,,,
232,72518,西,CABINDA,ANGOLA,"卡宾达,安哥拉",M,CMA,3338,55,5763,110,5763,110,,3388,5863,5863,55/110,,周二,洋山,CGPNR,黑角,68,7-15,7-31,ASAF 15天免用箱,,Cabinda CMA USD3338/5763 + EBS55/110，周二洋山黑角转68天，价格到7月31日已过期，紧供参考。,,,
233,72518,西,SOYO,ANGOLA,"索约,安哥拉",L,NDS,4210,,7360,,7360,,,4210,7360,7360,,,周一,洋山,PNR,黑角,56,7-07,7-31,,,Soyo NDS USD4210/7360，周一洋山黑角转56天，价格到7月31日已过期，紧供参考。,,,
234,72518,西,BATA,EQUATORIAL GUINEA,"巴塔,赤道几内亚",M,CMA,2488,55,3863,110,3863,110,,2538,3963,3963,55/110,,周日,洋山,TGLFW,洛美,43,7-15,7-31,FAL1 610天免用箱,,Bata CMA USD2488/3863 + EBS55/110，周日洋山洛美转43天，价格到7月31日已过期，紧供参考。,,,
235,72518,西,BATA,EQUATORIAL GUINEA,"巴塔,赤道几内亚",K,PIL,3610,,6110,,6110,,,3710,6310,6310,,,周一,洋山,LOME,洛美,60,7-23,7-31,,,Bata PIL USD3610/6110，周一洋山洛美转60天，价格到7月31日已过期，紧供参考。,,,
236,72518,西,BATA,EQUATORIAL GUINEA,"巴塔,赤道几内亚",L,NDS,2610,,4360,,4360,,,2610,4360,4360,,,周一,洋山,PNR,黑角,55,7-07,7-31,,,Bata NDS USD2610/4360，周一洋山黑角转55天，价格到7月31日已过期，紧供参考。,,,
237,72518,西,BATA,EQUATORIAL GUINEA,"巴塔,赤道几内亚",A,MSK,2850,60,4600,120,4600,120,,2850,4600,4600,60/120,,周二,洋山,Pointe Noire,黑角,42-49,8-01,8-19,,,Bata MSK USD2850/4600 + EBS60/120，周二洋山黑角转42-49天，价格到8月19日。,,,
238,72518,西,BATA,EQUATORIAL GUINEA,"巴塔,赤道几内亚",D,SAF,2750,60,4400,120,4400,120,,2750,4400,4400,60/120,,周二/五,洋山,Pointe Noire/ALGECIRAS,黑角,42-49,8-01,8-19,FW6/AE6,,Bata SAF USD2750/4400 + EBS60/120，周二/五洋山黑角转42-49天，价格到8月19日。,,,
239,72518,西,COTONOU,BENIN,"科托努,贝宁",E,COSCO,1710,60,2810,120,2810,120,,1735,2860,2860,60/120,,周三,外港,DIR,直达,38,7-27,7-31,WAX3,20'GP≧18T以上单票确认,Cotonou COSCO USD1710/2810 + EBS60/120，周三外港直达38天，价格到7月31日已过期，紧供参考。,,,
240,72518,西,COTONOU,BENIN,"科托努,贝宁",G,ZIM,1835,75,3010,150,3010,150,,1860,3060,3060,75/150,,周三,外港,DIR,直达,47,7-23,7-31,,,Cotonou ZIM USD1835/3010 + EBS75/150，周三外港直达47天，价格到7月31日已过期，紧供参考。,,,
241,72518,西,COTONOU,BENIN,"科托努,贝宁",M,CMA,1838,55,3163,110,3163,110,,1888,3263,3263,55/110,,周五,外四,DIR,直达,46,7-15,7-31,AFEX 11天免用箱,,Cotonou CMA USD1838/3163 + EBS55/110，周五外四直达46天，价格到7月31日已过期，紧供参考。,,,
242,72518,西,COTONOU,BENIN,"科托努,贝宁",H,ONE,1890,,2965,,2965,,,1915,3015,3015,,,周三,外港,DIR,直达,47,7-26,7-31,,,Cotonou ONE USD1890/2965，周三外港直达47天，价格到7月31日已过期，紧供参考。,,,
243,72518,西,COTONOU,BENIN,"科托努,贝宁",B,MSC,1950,,3200,,3200,,,1975,3250,3250,,,周五,外港,TGLFW,洛美,43,7-20,7-31,Subject to DTHC EUR 100/145 for 20/40(can be cc),,Cotonou MSC USD1950/3200，周五外港洛美转43天，价格到7月31日已过期，紧供参考。,,,
244,72518,西,COTONOU,BENIN,"科托努,贝宁",A,MSK,2400,60,4100,120,4100,120,,2400,4100,4100,60/120,,周五/四,外港,DIR,直达,46/35,8-01,8-19,FEW3/FEW1,,Cotonou MSK USD2400/4100 + EBS60/120，周五/四外港直达46/35天，价格到8月19日。,,,
245,72518,西,COTONOU,BENIN,"科托努,贝宁",D,SAF,2300,60,3900,120,3900,120,,2300,3900,3900,60/120,,周五,外港,DIR,直达,46,8-01,8-19,FW3,,Cotonou SAF USD2300/3900 + EBS60/120，周五外港直达46天，价格到8月19日。,,,
246,72518,西,COTONOU,BENIN,"科托努,贝宁",N,HPL,1900,55,3000,110,3000,110,,1925,3050,3050,55/110,,周六,洋山,PORT TANGIER,丹吉尔,41,8-01,8-14,"航线代码：MD1,免用箱14天",,Cotonou HPL USD1900/3000 + EBS55/110，周六洋山丹吉尔转41天，价格到8月14日已过期，紧供参考。,,,
247,72518,西,COTONOU,BENIN,"科托努,贝宁",K,PIL,1960,,3210,,3210,,,2060,3410,3410,,,周三,外港,DIR,直达,38,7-23,7-31,,,Cotonou PIL USD1960/3210，周三外港直达38天，价格到7月31日已过期，紧供参考。,,,
248,72518,西,BANJUL,GAMBIA,"班珠尔,冈比亚",B,MSC,2150,,4100,,4100,,,2175,4150,4150,,,周五,外港,VLC,瓦伦西亚,50/46,7-20,7-31,DTHC USD 105/20DV; USD 150/40DV(CC) ;CGS USD 250/TEU,,Banjul MSC USD2150/4100，周五外港瓦伦西亚转50/46天，价格到7月31日已过期，紧供参考。,,,
249,72518,西,BANJUL,GAMBIA,"班珠尔,冈比亚",M,CMA,2488,55,4413,110,4413,110,,2538,4513,4513,55/110,,周日,洋山,ESALG,阿尔赫西拉斯,39,7-15,7-31,FAL1 5天免用箱,,Banjul CMA USD2488/4413 + EBS55/110，周日洋山阿尔赫西拉斯转39天，价格到7月31日已过期，紧供参考。,,,
250,72518,西,BANJUL,GAMBIA,"班珠尔,冈比亚",A,MSK,2500,60,4450,120,4450,120,,2500,4450,4450,60/120,,周五,洋山,ALGECIRAS,阿尔赫西拉斯,42,8-01,8-19,,,Banjul MSK USD2500/4450 + EBS60/120，周五洋山阿尔赫西拉斯转42天，价格到8月19日。,,,
251,72518,西,BANJUL,GAMBIA,"班珠尔,冈比亚",D,SAF,2500,60,4450,120,4450,120,,2500,4450,4450,60/120,,周五,洋山,ALGECIRAS,阿尔赫西拉斯,42,8-01,8-19,AE6,,Banjul SAF USD2500/4450 + EBS60/120，周五洋山阿尔赫西拉斯转42天，价格到8月19日。,,,
252,72518,西,MONROVIA,LIBERIA,"蒙罗维亚,利比里亚",B,MSC,2150,,4100,,4100,,,2175,4150,4150,,,周五,外港,TGLFW,洛美,52,7-20,7-31,,,Monrovia MSC USD2150/4100，周五外港洛美转52天，价格到7月31日已过期，紧供参考。,,,
253,72518,西,MONROVIA,LIBERIA,"蒙罗维亚,利比里亚",A,MSK,1900,60,3300,120,3300,120,,1900,3300,3300,60/120,,周三,洋山,PTG,丹吉尔,45,8-01,8-19,,,Monrovia MSK USD1900/3300 + EBS60/120，周三洋山丹吉尔转45天，价格到8月19日。,,,
254,72518,西,MONROVIA,LIBERIA,"蒙罗维亚,利比里亚",D,SAF,1900,60,3300,120,3300,120,,1900,3300,3300,60/120,,周一/五,洋山,PORT SAIDE EAST/ALGECIRAS,赛德东/阿尔赫西拉斯,45,8-01,8-19,AE7/AE6,,Monrovia SAF USD1900/3300 + EBS60/120，周一/五洋山赛德东/阿尔赫西拉斯转45天，价格到8月19日。,,,
255,72518,西,MONROVIA,LIBERIA,"蒙罗维亚,利比里亚",E,COSCO,2260,60,4210,120,4210,120,,2260,4210,4210,60/120,,周三,外港,LOME,洛美,45,7-23,7-31,WAX3,,Monrovia COSCO USD2260/4210 + EBS60/120，周三外港洛美转45天，价格到7月31日已过期，紧供参考。,,,
256,72518,西,MONROVIA,LIBERIA,"蒙罗维亚,利比里亚",K,PIL,2260,,3710,,3710,,,2360,3910,3910,,,周三,外港,LOME,洛美,49,7-23,7-31,,,Monrovia PIL USD2260/3710，周三外港洛美转49天，价格到7月31日已过期，紧供参考。,,,
257,72518,西,MONROVIA,LIBERIA,"蒙罗维亚,利比里亚",M,CMA,1888,55,3263,110,3263,110,,1938,3363,3363,55/110,,周日,洋山,ESALG,阿尔赫西拉斯,45,7-15,7-31,FAL1 10天免用箱,,Monrovia CMA USD1888/3263 + EBS55/110，周日洋山阿尔赫西拉斯转45天，价格到7月31日已过期，紧供参考。,,,
258,72518,西,BISSAU,GUINEE BISSAU,"比绍,几内亚比绍",A,MSK,2850,60,5200,120,5200,120,,2850,5200,5200,60/120,,周五,洋山,ALGECIRAS,阿尔赫西拉斯,54-62,8-01,8-19,,,Bissau MSK USD2850/5200 + EBS60/120，周五洋山阿尔赫西拉斯转54-62天，价格到8月19日。,,,
259,72518,西,BISSAU,GUINEE BISSAU,"比绍,几内亚比绍",D,SAF,2850,60,5200,120,5200,120,,2850,5200,5200,60/120,,周五,洋山,ALGECIRAS,阿尔赫西拉斯,55-62,8-01,8-19,AE6,,Bissau SAF USD2850/5200 + EBS60/120，周五洋山阿尔赫西拉斯转55-62天，价格到8月19日。,,,
260,72518,西,BISSAU,GUINEE BISSAU,"比绍,几内亚比绍",B,MSC,2550,,4900,,4900,,,2575,4950,4950,,,周五,外港,VLC,瓦伦西亚,72/68,7-20,7-31,subject to DTHC EUR399/412 & PTA USD40/CNTR with same OF term,,Bissau MSC USD2550/4900，周五外港瓦伦西亚转72/68天，价格到7月31日已过期，紧供参考。,,,
261,72518,西,BISSAU,GUINEE BISSAU,"比绍,几内亚比绍",O,BLINE,2750,50,4800,100,4800,100,,2750,4800,4800,50/100,,周二/周四,外港,Lexious,雷克纽斯,45,8-01,8-14,"需截ENS(USD25),箱东单",,Bissau BLINE USD2750/4800 + EBS50/100，周二/周四外港雷克纽斯转45天，价格到8月14日已过期，紧供参考。,,,
262,72518,西,DOUALA,CAMEROON,"杜阿拉,喀麦隆",A,MSK,2750,60,4600,120,4600,120,,2750,4600,4600,60/120,,周二,洋山,pointer noire,黑角,45,8-01,8-19,FEW6 CGS: usd200/400 from 26-Feb,,Douala MSK USD2750/4600 + EBS60/120，周二洋山黑角转45天，价格到8月19日。,,,
263,72518,西,DOUALA,CAMEROON,"杜阿拉,喀麦隆",E,COSCO,2110,60,3210,120,3210,120,,2135,3260,3260,60/120,,周三,外港,LOME,洛美,42,7-23,7-31,WAX3,,Douala COSCO USD2110/3210 + EBS60/120，周三外港洛美转42天，价格到7月31日已过期，紧供参考。,,,
264,72518,西,DOUALA,CAMEROON,"杜阿拉,喀麦隆",D,SAF,2650,60,4400,120,4400,120,,2650,4400,4400,60/120,,周二/五,洋山,pointer noire/ALGECIRAS,黑角/阿尔赫西拉斯,45,8-01,8-19,FW6/AE6,,Douala SAF USD2650/4400 + EBS60/120，周二/五洋山黑角/阿尔赫西拉斯转45天，价格到8月19日。,,,
265,72518,西,DOUALA,CAMEROON,"杜阿拉,喀麦隆",L,NDS,2410,,3860,,3860,,,2410,3860,3860,,,周一,洋山,PNR,黑角,56,7-07,7-31,,,Douala NDS USD2410/3860，周一洋山黑角转56天，价格到7月31日已过期，紧供参考。,,,
266,72518,西,DOUALA,CAMEROON,"杜阿拉,喀麦隆",K,PIL,2160,,3610,,3610,,,2260,3810,3810,,,周二,外港,LOME,洛美,46,7-23,7-31,,,Douala PIL USD2160/3610，周二外港洛美转46天，价格到7月31日已过期，紧供参考。,,,
267,72518,西,DOUALA,CAMEROON,"杜阿拉,喀麦隆",B,MSC,2100,,3400,,3400,,,2125,3450,3450,,,周五,外港,TGLFW,洛美,44,7-20,7-31,CGS: usd200/400 from 26-Feb,,Douala MSC USD2100/3400，周五外港洛美转44天，价格到7月31日已过期，紧供参考。,,,
268,72518,西,DOUALA,CAMEROON,"杜阿拉,喀麦隆",M,CMA,2288,55,3663,110,3663,110,,2338,3763,3763,55/110,,周二,洋山,CGPNR,黑角,48,7-15,7-31,ASAF 11天免用箱,,Douala CMA USD2288/3663 + EBS55/110，周二洋山黑角转48天，价格到7月31日已过期，紧供参考。,,,
269,72518,西,KRIBI,CAMEROON,"开瑞比,喀麦隆",L,NDS,2410,,3860,,3860,,,2410,3860,3860,,,周一,洋山,CGPNR,黑角,55,7-07,7-31,,,Kribi NDS USD2410/3860，周一洋山黑角转55天，价格到7月31日已过期，紧供参考。,,,
270,72518,西,KRIBI,CAMEROON,"开瑞比,喀麦隆",M,CMA,2063,55,3213,110,3213,110,,2113,3313,3313,55/110,,周二,洋山,DIR,直达,41,7-15,7-31,ASAF 11天免用箱,,Kribi CMA USD2063/3213 + EBS55/110，周二洋山直达41天，价格到7月31日已过期，紧供参考。,,,
271,72518,西,FREETOWN,SIERRA LEONE,"弗里敦,塞拉利昂",A,MSK,2110,60,3720,120,3720,120,,2110,3720,3720,60/120,,周一,洋山,PORT SAIDE EAST,赛德东,44,8-01,8-19,,,Freetown MSK USD2110/3720 + EBS60/120，周一洋山赛德东转44天，价格到8月19日。,,,
272,72518,西,FREETOWN,SIERRA LEONE,"弗里敦,塞拉利昂",D,SAF,2005,60,3510,120,3510,120,,2005,3510,3510,60/120,,周一/五,洋山,PORT SAIDE EAST/ALGECIRAS,赛德东,50,8-01,8-19,AE7/AE6,,Freetown SAF USD2005/3510 + EBS60/120，周一/五洋山赛德东转50天，价格到8月19日。,,,
273,72518,西,FREETOWN,SIERRA LEONE,"弗里敦,塞拉利昂",E,COSCO,2260,60,4210,120,4210,120,,2350,4610,4610,60/120,,周三,外港,LOME,洛美,46,7-23,7-31,WAX3,,Freetown COSCO USD2260/4210 + EBS60/120，周三外港洛美转46天，价格到7月31日已过期，紧供参考。,,,
274,72518,西,FREETOWN,SIERRA LEONE,"弗里敦,塞拉利昂",K,PIL,2260,,3710,,3710,,,2360,3910,3910,,,周三,外港,LOME,洛美,47,7-23,7-31,,,Freetown PIL USD2260/3710，周三外港洛美转47天，价格到7月31日已过期，紧供参考。,,,
275,72518,西,FREETOWN,SIERRA LEONE,"弗里敦,塞拉利昂",B,MSC,2255,,4310,,4310,,,2280,4360,4360,,,周五,外港,TGLFW,洛美,49,7-20,7-31,"Subject to CUS:usd105/Teu,ISPS USD 15/TEU",,Freetown MSC USD2255/4310，周五外港洛美转49天，价格到7月31日已过期，紧供参考。,,,
